dataset_id	enabled	title	organism	genome_build	counts_url	counts_filename	miniml_url	miniml_filename	annotation_url	annotation_filename	sample_id_field	feature_id_column	annotation_source_column	annotation_target_column	group_characteristic	covariates	condition_a_values	condition_b_values	condition_a_label	condition_b_label	signature_name	landing_page_url
GSE188251	false	Targeted PRM1 activation by CRISPR-dCas9-p300 in HEK293T cells	human	hg38	https://www.ncbi.nlm.nih.gov/geo/download/?format=file&type=rnaseq_counts&acc=GSE188251&file=GSE188251_raw_counts_GRCh38.p13_NCBI.tsv.gz	GSE188251_raw_counts_GRCh38.p13_NCBI.tsv.gz	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE188nnn/GSE188251/miniml/GSE188251_family.xml.tgz	GSE188251_family.xml.tgz	https://www.ncbi.nlm.nih.gov/geo/download/?format=file&type=rnaseq_counts&file=Human.GRCh38.p13.annot.tsv.gz	Human.GRCh38.p13.annot.tsv.gz	accession	GeneID	GeneID	Symbol	__accession__		GSM5673343,GSM5673345,GSM5673347	GSM5673342,GSM5673344	prm1_activation	control	GSE188251_HEK293T_PRM1_activation_vs_control	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE188251
GSE216870	true	Saikosaponin A response in HepG2 hepatocellular carcinoma cells	human	hg38	https://www.ncbi.nlm.nih.gov/geo/download/?format=file&type=rnaseq_counts&acc=GSE216870&file=GSE216870_raw_counts_GRCh38.p13_NCBI.tsv.gz	GSE216870_raw_counts_GRCh38.p13_NCBI.tsv.gz	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE216nnn/GSE216870/miniml/GSE216870_family.xml.tgz	GSE216870_family.xml.tgz	https://www.ncbi.nlm.nih.gov/geo/download/?format=file&type=rnaseq_counts&file=Human.GRCh38.p13.annot.tsv.gz	Human.GRCh38.p13.annot.tsv.gz	accession	GeneID	GeneID	Symbol	__accession__		GSM6697007,GSM6697008,GSM6697009	GSM6697005,GSM6697006	saikosaponin_a	dmso	GSE216870_HepG2_saikosaponin_A_vs_DMSO	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE216870
GSE217526	true	Parthenolide response in MGC-803 gastric cancer cells	human	hg38	https://www.ncbi.nlm.nih.gov/geo/download/?format=file&type=rnaseq_counts&acc=GSE217526&file=GSE217526_raw_counts_GRCh38.p13_NCBI.tsv.gz	GSE217526_raw_counts_GRCh38.p13_NCBI.tsv.gz	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE217nnn/GSE217526/miniml/GSE217526_family.xml.tgz	GSE217526_family.xml.tgz	https://www.ncbi.nlm.nih.gov/geo/download/?format=file&type=rnaseq_counts&file=Human.GRCh38.p13.annot.tsv.gz	Human.GRCh38.p13.annot.tsv.gz	accession	GeneID	GeneID	Symbol	treatment		Parthenolide	DMSO	parthenolide	dmso	GSE217526_MGC803_parthenolide_vs_DMSO	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE217526
GSE218282	true	DECR2 knockdown in enzalutamide-resistant prostate cancer cells	human	hg38	https://www.ncbi.nlm.nih.gov/geo/download/?format=file&type=rnaseq_counts&acc=GSE218282&file=GSE218282_raw_counts_GRCh38.p13_NCBI.tsv.gz	GSE218282_raw_counts_GRCh38.p13_NCBI.tsv.gz	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE218nnn/GSE218282/miniml/GSE218282_family.xml.tgz	GSE218282_family.xml.tgz	https://www.ncbi.nlm.nih.gov/geo/download/?format=file&type=rnaseq_counts&file=Human.GRCh38.p13.annot.tsv.gz	Human.GRCh38.p13.annot.tsv.gz	accession	GeneID	GeneID	Symbol	__accession__	cell_line	GSM6738598,GSM6738599,GSM6738600,GSM6738601,GSM6738602,GSM6738603,GSM6738610,GSM6738611,GSM6738612,GSM6738613,GSM6738614,GSM6738615	GSM6738593,GSM6738594,GSM6738595,GSM6738596,GSM6738597,GSM6738604,GSM6738605,GSM6738606,GSM6738607,GSM6738608,GSM6738609	decr2_knockdown	sirna_control	GSE218282_prostate_DECR2_knockdown_vs_control	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE218282
GSE220537	false	PiZZ versus normal alpha-1-antitrypsin liver organoids	human	hg38	https://www.ncbi.nlm.nih.gov/geo/download/?format=file&type=rnaseq_counts&acc=GSE220537&file=GSE220537_raw_counts_GRCh38.p13_NCBI.tsv.gz	GSE220537_raw_counts_GRCh38.p13_NCBI.tsv.gz	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE220nnn/GSE220537/miniml/GSE220537_family.xml.tgz	GSE220537_family.xml.tgz	https://www.ncbi.nlm.nih.gov/geo/download/?format=file&type=rnaseq_counts&file=Human.GRCh38.p13.annot.tsv.gz	Human.GRCh38.p13.annot.tsv.gz	accession	GeneID	GeneID	Symbol	__accession__		GSM6806582,GSM6806583	GSM6806578,GSM6806579,GSM6806580,GSM6806581	pizz	mm_control	GSE220537_liver_organoid_PiZZ_vs_MM	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE220537
GSE220643	true	Celecoxib response in TGF-beta-stimulated biliary epithelial cells	human	hg38	https://www.ncbi.nlm.nih.gov/geo/download/?format=file&type=rnaseq_counts&acc=GSE220643&file=GSE220643_raw_counts_GRCh38.p13_NCBI.tsv.gz	GSE220643_raw_counts_GRCh38.p13_NCBI.tsv.gz	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE220nnn/GSE220643/miniml/GSE220643_family.xml.tgz	GSE220643_family.xml.tgz	https://www.ncbi.nlm.nih.gov/geo/download/?format=file&type=rnaseq_counts&file=Human.GRCh38.p13.annot.tsv.gz	Human.GRCh38.p13.annot.tsv.gz	accession	GeneID	GeneID	Symbol	__accession__		GSM6808156,GSM6808157,GSM6808158	GSM6808153,GSM6808155	celecoxib_tgfb	tgfb	GSE220643_HIBEpiC_celecoxib_TGFB_vs_TGFB	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE220643
GSE221217	true	PI5P4K perturbation in MCF10A breast epithelial cells	human	hg38	https://www.ncbi.nlm.nih.gov/geo/download/?format=file&type=rnaseq_counts&acc=GSE221217&file=GSE221217_raw_counts_GRCh38.p13_NCBI.tsv.gz	GSE221217_raw_counts_GRCh38.p13_NCBI.tsv.gz	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE221nnn/GSE221217/miniml/GSE221217_family.xml.tgz	GSE221217_family.xml.tgz	https://www.ncbi.nlm.nih.gov/geo/download/?format=file&type=rnaseq_counts&file=Human.GRCh38.p13.annot.tsv.gz	Human.GRCh38.p13.annot.tsv.gz	accession	GeneID	GeneID	Symbol	__accession__		GSM6856045,GSM6856046,GSM6856047	GSM6856042,GSM6856043	pi5p4k_perturbation	scramble_control	GSE221217_MCF10A_PI5P4K_perturbation_vs_control	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE221217
GSE221409	true	ISRIB-supported human trophoblast stem cell maintenance	human	hg38	https://www.ncbi.nlm.nih.gov/geo/download/?format=file&type=rnaseq_counts&acc=GSE221409&file=GSE221409_raw_counts_GRCh38.p13_NCBI.tsv.gz	GSE221409_raw_counts_GRCh38.p13_NCBI.tsv.gz	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE221nnn/GSE221409/miniml/GSE221409_family.xml.tgz	GSE221409_family.xml.tgz	https://www.ncbi.nlm.nih.gov/geo/download/?format=file&type=rnaseq_counts&file=Human.GRCh38.p13.annot.tsv.gz	Human.GRCh38.p13.annot.tsv.gz	accession	GeneID	GeneID	Symbol	__accession__		GSM6865687,GSM6865688	GSM6865691,GSM6865692	isrib_medium	original_medium	GSE221409_hTSC_ISRIB_medium_vs_original	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE221409
GSE245941	true	JUNB knockdown in CAPAN1 pancreatic cancer cells	human	hg38	https://www.ncbi.nlm.nih.gov/geo/download/?format=file&type=rnaseq_counts&acc=GSE245941&file=GSE245941_raw_counts_GRCh38.p13_NCBI.tsv.gz	GSE245941_raw_counts_GRCh38.p13_NCBI.tsv.gz	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE245nnn/GSE245941/miniml/GSE245941_family.xml.tgz	GSE245941_family.xml.tgz	https://www.ncbi.nlm.nih.gov/geo/download/?format=file&type=rnaseq_counts&file=Human.GRCh38.p13.annot.tsv.gz	Human.GRCh38.p13.annot.tsv.gz	accession	GeneID	GeneID	Symbol	__accession__		GSM7851562,GSM7851563	GSM7851559,GSM7851560,GSM7851561	junb_knockdown	sirna_control	GSE245941_CAPAN1_JUNB_knockdown_vs_control	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE245941
GSE247175	true	Hexamethylene amiloride and venetoclax combination response in MV4-11 AML cells	human	hg38	https://www.ncbi.nlm.nih.gov/geo/download/?format=file&type=rnaseq_counts&acc=GSE247175&file=GSE247175_raw_counts_GRCh38.p13_NCBI.tsv.gz	GSE247175_raw_counts_GRCh38.p13_NCBI.tsv.gz	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE247nnn/GSE247175/miniml/GSE247175_family.xml.tgz	GSE247175_family.xml.tgz	https://www.ncbi.nlm.nih.gov/geo/download/?format=file&type=rnaseq_counts&file=Human.GRCh38.p13.annot.tsv.gz	Human.GRCh38.p13.annot.tsv.gz	accession	GeneID	GeneID	Symbol	treatment		VEN+HA	DMSO	venetoclax_ha	dmso	GSE247175_MV4_11_venetoclax_HA_vs_DMSO	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE247175
GSE247883	true	RSL3-induced ferroptosis response in A549 cells	human	hg38	https://www.ncbi.nlm.nih.gov/geo/download/?format=file&type=rnaseq_counts&acc=GSE247883&file=GSE247883_raw_counts_GRCh38.p13_NCBI.tsv.gz	GSE247883_raw_counts_GRCh38.p13_NCBI.tsv.gz	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE247nnn/GSE247883/miniml/GSE247883_family.xml.tgz	GSE247883_family.xml.tgz	https://www.ncbi.nlm.nih.gov/geo/download/?format=file&type=rnaseq_counts&file=Human.GRCh38.p13.annot.tsv.gz	Human.GRCh38.p13.annot.tsv.gz	accession	GeneID	GeneID	Symbol	__accession__		GSM7902663,GSM7902664,GSM7902665	GSM7902660,GSM7902661,GSM7902662	rsl3	dmso	GSE247883_A549_RSL3_vs_DMSO	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE247883
GSE248935	true	CD146 knockdown in PC9-BrM3 lung cancer brain-metastasis cells	human	hg38	https://www.ncbi.nlm.nih.gov/geo/download/?format=file&type=rnaseq_counts&acc=GSE248935&file=GSE248935_raw_counts_GRCh38.p13_NCBI.tsv.gz	GSE248935_raw_counts_GRCh38.p13_NCBI.tsv.gz	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE248nnn/GSE248935/miniml/GSE248935_family.xml.tgz	GSE248935_family.xml.tgz	https://www.ncbi.nlm.nih.gov/geo/download/?format=file&type=rnaseq_counts&file=Human.GRCh38.p13.annot.tsv.gz	Human.GRCh38.p13.annot.tsv.gz	accession	GeneID	GeneID	Symbol	__accession__		GSM7923255,GSM7923256	GSM7923257,GSM7923258,GSM7923259	cd146_knockdown	shrna_control	GSE248935_PC9_BrM3_CD146_knockdown_vs_control	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE248935
GSE60391	true	CPSF2 knockdown in human cells	human	hg38	https://www.ncbi.nlm.nih.gov/geo/download/?format=file&type=rnaseq_counts&acc=GSE60391&file=GSE60391_raw_counts_GRCh38.p13_NCBI.tsv.gz	GSE60391_raw_counts_GRCh38.p13_NCBI.tsv.gz	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE60nnn/GSE60391/miniml/GSE60391_family.xml.tgz	GSE60391_family.xml.tgz	https://www.ncbi.nlm.nih.gov/geo/download/?format=file&type=rnaseq_counts&file=Human.GRCh38.p13.annot.tsv.gz	Human.GRCh38.p13.annot.tsv.gz	accession	GeneID	GeneID	Symbol	genotype/variation		CPSF2	WT	cpsf2_knockdown	non_silencing_control	GSE60391_CPSF2_knockdown_vs_control	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE60391
GSE86219	true	Nutlin response in MCF7 polysome-associated RNA	human	hg38	https://www.ncbi.nlm.nih.gov/geo/download/?format=file&type=rnaseq_counts&acc=GSE86219&file=GSE86219_raw_counts_GRCh38.p13_NCBI.tsv.gz	GSE86219_raw_counts_GRCh38.p13_NCBI.tsv.gz	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE86nnn/GSE86219/miniml/GSE86219_family.xml.tgz	GSE86219_family.xml.tgz	https://www.ncbi.nlm.nih.gov/geo/download/?format=file&type=rnaseq_counts&file=Human.GRCh38.p13.annot.tsv.gz	Human.GRCh38.p13.annot.tsv.gz	accession	GeneID	GeneID	Symbol	__accession__	batch	GSM2298380,GSM2298381	GSM2298378,GSM2298379	nutlin	dmso	GSE86219_MCF7_polysomal_Nutlin_vs_DMSO	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE86219
GSE125086	true	Cycloheximide response in HeLa cells at 24 hours	human	hg38	https://www.ncbi.nlm.nih.gov/geo/download/?format=file&type=rnaseq_counts&acc=GSE125086&file=GSE125086_raw_counts_GRCh38.p13_NCBI.tsv.gz	GSE125086_raw_counts_GRCh38.p13_NCBI.tsv.gz	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE125nnn/GSE125086/miniml/GSE125086_family.xml.tgz	GSE125086_family.xml.tgz	https://www.ncbi.nlm.nih.gov/geo/download/?format=file&type=rnaseq_counts&file=Human.GRCh38.p13.annot.tsv.gz	Human.GRCh38.p13.annot.tsv.gz	accession	GeneID	GeneID	Symbol	__accession__		GSM3562592,GSM3562593	GSM3562588,GSM3562589	cycloheximide_24h	vehicle	GSE125086_HeLa_cycloheximide_24h_vs_vehicle	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE125086
GSE129522	false	FOXO1 inhibitor response in primary human CD4 T cells at 48 hours	human	hg38	https://www.ncbi.nlm.nih.gov/geo/download/?format=file&type=rnaseq_counts&acc=GSE129522&file=GSE129522_raw_counts_GRCh38.p13_NCBI.tsv.gz	GSE129522_raw_counts_GRCh38.p13_NCBI.tsv.gz	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE129nnn/GSE129522/miniml/GSE129522_family.xml.tgz	GSE129522_family.xml.tgz	https://www.ncbi.nlm.nih.gov/geo/download/?format=file&type=rnaseq_counts&file=Human.GRCh38.p13.annot.tsv.gz	Human.GRCh38.p13.annot.tsv.gz	accession	GeneID	GeneID	Symbol	__accession__	donor	GSM3714843,GSM3714844,GSM3714845	GSM3714840,GSM3714841,GSM3714842	as1842856	dmso	GSE129522_CD4_T_AS1842856_vs_DMSO_48h	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE129522
GSE254681	true	SMANTIS knockout in THP-1-derived osteoclast-like cells	human	hg38	https://www.ncbi.nlm.nih.gov/geo/download/?format=file&type=rnaseq_counts&acc=GSE254681&file=GSE254681_raw_counts_GRCh38.p13_NCBI.tsv.gz	GSE254681_raw_counts_GRCh38.p13_NCBI.tsv.gz	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE254nnn/GSE254681/miniml/GSE254681_family.xml.tgz	GSE254681_family.xml.tgz	https://www.ncbi.nlm.nih.gov/geo/download/?format=file&type=rnaseq_counts&file=Human.GRCh38.p13.annot.tsv.gz	Human.GRCh38.p13.annot.tsv.gz	accession	GeneID	GeneID	Symbol	treatment		gRNA against SMANTIS	NTC	smantis_knockout	ntc	GSE254681_THP1_SMANTIS_knockout_vs_NTC	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE254681
GSE115137	false	A83-01 response in human endometrial mesenchymal stem cells	human	hg38	https://www.ncbi.nlm.nih.gov/geo/download/?format=file&type=rnaseq_counts&acc=GSE115137&file=GSE115137_raw_counts_GRCh38.p13_NCBI.tsv.gz	GSE115137_raw_counts_GRCh38.p13_NCBI.tsv.gz	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE115nnn/GSE115137/miniml/GSE115137_family.xml.tgz	GSE115137_family.xml.tgz	https://www.ncbi.nlm.nih.gov/geo/download/?format=file&type=rnaseq_counts&file=Human.GRCh38.p13.annot.tsv.gz	Human.GRCh38.p13.annot.tsv.gz	accession	GeneID	GeneID	Symbol	treatment	replicate	T1-Treated/A83-01	U-Untreated/DMSO vehicle Control	a83_01	dmso	GSE115137_endometrial_MSC_A83_01_vs_DMSO	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE115137
GSE178352	true	MAL3-101 response in triple-negative breast cancer cells	human	hg38	https://www.ncbi.nlm.nih.gov/geo/download/?format=file&type=rnaseq_counts&acc=GSE178352&file=GSE178352_raw_counts_GRCh38.p13_NCBI.tsv.gz	GSE178352_raw_counts_GRCh38.p13_NCBI.tsv.gz	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE178nnn/GSE178352/miniml/GSE178352_family.xml.tgz	GSE178352_family.xml.tgz	https://www.ncbi.nlm.nih.gov/geo/download/?format=file&type=rnaseq_counts&file=Human.GRCh38.p13.annot.tsv.gz	Human.GRCh38.p13.annot.tsv.gz	accession	GeneID	GeneID	Symbol	treatment	cell_line	MAL3-101	DMSO	mal3_101	dmso	GSE178352_TNBC_MAL3_101_vs_DMSO	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE178352
GSE78853	true	Nortriptyline response in adult hepatic stellate cell myofibroblasts	human	hg38	https://www.ncbi.nlm.nih.gov/geo/download/?format=file&type=rnaseq_counts&acc=GSE78853&file=GSE78853_raw_counts_GRCh38.p13_NCBI.tsv.gz	GSE78853_raw_counts_GRCh38.p13_NCBI.tsv.gz	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE78nnn/GSE78853/miniml/GSE78853_family.xml.tgz	GSE78853_family.xml.tgz	https://www.ncbi.nlm.nih.gov/geo/download/?format=file&type=rnaseq_counts&file=Human.GRCh38.p13.annot.tsv.gz	Human.GRCh38.p13.annot.tsv.gz	accession	GeneID	GeneID	Symbol	treatment		nortriptyline 27uM for 48 hours	ethanol vehicle for 48 hours	nortriptyline	ethanol_vehicle	GSE78853_HSC_nortriptyline_vs_vehicle	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE78853
