comparison	gmt_set	status	total_genes	gmt_set_size	top_250_in_set	bottom_250_in_set	jaccard_distance	error
SmallIntestine 20-29 vs 60-69	Up	File not found		250				File not found: /chembio/datasets/csdev/VD/data/explore/CFKC/GTEx/SmallIntestine_20-29_vs_60-69/de_genes_with_gmt.tsv
SmallIntestine 20-29 vs 60-69	Down	File not found		250				File not found: /chembio/datasets/csdev/VD/data/explore/CFKC/GTEx/SmallIntestine_20-29_vs_60-69/de_genes_with_gmt.tsv
Skin 20-29 vs 30-39	Up	Success	17950.0	250	3.0	24.0	0.994	
Skin 20-29 vs 30-39	Down	Success	17950.0	250	10.0	22.0	0.954	
SalivaryGland 20-29 vs 50-59	Up	File not found		250				File not found: /chembio/datasets/csdev/VD/data/explore/CFKC/GTEx/SalivaryGland_20-29_vs_50-59/de_genes_with_gmt.tsv
SalivaryGland 20-29 vs 50-59	Down	File not found		250				File not found: /chembio/datasets/csdev/VD/data/explore/CFKC/GTEx/SalivaryGland_20-29_vs_50-59/de_genes_with_gmt.tsv
Kidney 20-29 vs 40-49	Up	File not found		250				File not found: /chembio/datasets/csdev/VD/data/explore/CFKC/GTEx/Kidney_20-29_vs_40-49/de_genes_with_gmt.tsv
Kidney 20-29 vs 40-49	Down	File not found		250				File not found: /chembio/datasets/csdev/VD/data/explore/CFKC/GTEx/Kidney_20-29_vs_40-49/de_genes_with_gmt.tsv
SmallIntestine 20-29 vs 70-79	Up	File not found		250				File not found: /chembio/datasets/csdev/VD/data/explore/CFKC/GTEx/SmallIntestine_20-29_vs_70-79/de_genes_with_gmt.tsv
SmallIntestine 20-29 vs 70-79	Down	File not found		250				File not found: /chembio/datasets/csdev/VD/data/explore/CFKC/GTEx/SmallIntestine_20-29_vs_70-79/de_genes_with_gmt.tsv
Spleen 20-29 vs 40-49	Up	File not found		250				File not found: /chembio/datasets/csdev/VD/data/explore/CFKC/GTEx/Spleen_20-29_vs_40-49/de_genes_with_gmt.tsv
Spleen 20-29 vs 40-49	Down	File not found		250				File not found: /chembio/datasets/csdev/VD/data/explore/CFKC/GTEx/Spleen_20-29_vs_40-49/de_genes_with_gmt.tsv
Vagina 20-29 vs 60-69	Up	File not found		250				File not found: /chembio/datasets/csdev/VD/data/explore/CFKC/GTEx/Vagina_20-29_vs_60-69/de_genes_with_gmt.tsv
Vagina 20-29 vs 60-69	Down	File not found		250				File not found: /chembio/datasets/csdev/VD/data/explore/CFKC/GTEx/Vagina_20-29_vs_60-69/de_genes_with_gmt.tsv
Uterus 20-29 vs 50-59	Up	Success	16036.0	250	29.0	2.0	0.9384	
Uterus 20-29 vs 50-59	Down	Success	16036.0	250	3.0	45.0	0.9011	
Muscle 20-29 vs 30-39	Up	Success	13638.0	250	14.0	8.0	0.9712	
Muscle 20-29 vs 30-39	Down	Success	13638.0	250	8.0	18.0	0.9627	
Blood 20-29 vs 30-39	Up	Success	15093.0	250	45.0	1.0	0.9011	
Blood 20-29 vs 30-39	Down	Success	15093.0	250	1.0	16.0	0.9669	
Thyroid 20-29 vs 50-59	Up	Success	18723.0	250	33.0	0.0	0.9293	
Thyroid 20-29 vs 50-59	Down	Success	18723.0	250	2.0	69.0	0.8399	
Ovary 20-29 vs 30-39	Up	File not found		250				File not found: /chembio/datasets/csdev/VD/data/explore/CFKC/GTEx/Ovary_20-29_vs_30-39/de_genes_with_gmt.tsv
Ovary 20-29 vs 30-39	Down	File not found		250				File not found: /chembio/datasets/csdev/VD/data/explore/CFKC/GTEx/Ovary_20-29_vs_30-39/de_genes_with_gmt.tsv
AdrenalGland 20-29 vs 60-69	Up	File not found		250				File not found: /chembio/datasets/csdev/VD/data/explore/CFKC/GTEx/AdrenalGland_20-29_vs_60-69/de_genes_with_gmt.tsv
AdrenalGland 20-29 vs 60-69	Down	File not found		250				File not found: /chembio/datasets/csdev/VD/data/explore/CFKC/GTEx/AdrenalGland_20-29_vs_60-69/de_genes_with_gmt.tsv
Breast 20-29 vs 70-79	Up	Success	15005.0	250	22.0	2.0	0.954	
Breast 20-29 vs 70-79	Down	Success	15005.0	250	6.0	3.0	0.994	
Brain 20-29 vs 30-39	Up	File not found		250				File not found: /chembio/datasets/csdev/VD/data/explore/CFKC/GTEx/Brain_20-29_vs_30-39/de_genes_with_gmt.tsv
Brain 20-29 vs 30-39	Down	File not found		250				File not found: /chembio/datasets/csdev/VD/data/explore/CFKC/GTEx/Brain_20-29_vs_30-39/de_genes_with_gmt.tsv
Prostate 20-29 vs 70-79	Up	File not found		250				File not found: /chembio/datasets/csdev/VD/data/explore/CFKC/GTEx/Prostate_20-29_vs_70-79/de_genes_with_gmt.tsv
Prostate 20-29 vs 70-79	Down	File not found		250				File not found: /chembio/datasets/csdev/VD/data/explore/CFKC/GTEx/Prostate_20-29_vs_70-79/de_genes_with_gmt.tsv
BloodVessel 20-29 vs 30-39	Up	File not found		250				File not found: /chembio/datasets/csdev/VD/data/explore/CFKC/GTEx/BloodVessel_20-29_vs_30-39/de_genes_with_gmt.tsv
BloodVessel 20-29 vs 30-39	Down	File not found		250				File not found: /chembio/datasets/csdev/VD/data/explore/CFKC/GTEx/BloodVessel_20-29_vs_30-39/de_genes_with_gmt.tsv
Stomach 20-29 vs 40-49	Up	Success	16868.0	250	105.0	0.0	0.7342	
Stomach 20-29 vs 40-49	Down	Success	16868.0	250	0.0	20.0	0.9583	
Prostate 20-29 vs 60-69	Up	Success	18332.0	250	52.0	0.0	0.8839	
Prostate 20-29 vs 60-69	Down	Success	18332.0	250	2.0	67.0	0.8453	
Pancreas 20-29 vs 30-39	Up	File not found		250				File not found: /chembio/datasets/csdev/VD/data/explore/CFKC/GTEx/Pancreas_20-29_vs_30-39/de_genes_with_gmt.tsv
Pancreas 20-29 vs 30-39	Down	File not found		250				File not found: /chembio/datasets/csdev/VD/data/explore/CFKC/GTEx/Pancreas_20-29_vs_30-39/de_genes_with_gmt.tsv
Stomach 20-29 vs 50-59	Up	Success	17725.0	250	12.0	6.0	0.9754	
Stomach 20-29 vs 50-59	Down	Success	17725.0	250	6.0	23.0	0.9518	
Breast 20-29 vs 60-69	Up	Success	18102.0	250	18.0	5.0	0.9627	
Breast 20-29 vs 60-69	Down	Success	18102.0	250	2.0	32.0	0.9316	
AdrenalGland 20-29 vs 70-79	Up	File not found		250				File not found: /chembio/datasets/csdev/VD/data/explore/CFKC/GTEx/AdrenalGland_20-29_vs_70-79/de_genes_with_gmt.tsv
AdrenalGland 20-29 vs 70-79	Down	File not found		250				File not found: /chembio/datasets/csdev/VD/data/explore/CFKC/GTEx/AdrenalGland_20-29_vs_70-79/de_genes_with_gmt.tsv
Heart 20-29 vs 30-39	Up	Success	14703.0	250	24.0	2.0	0.9496	
Heart 20-29 vs 30-39	Down	Success	14703.0	250	0.0	51.0	0.8864	
Esophagus 20-29 vs 50-59	Up	Success	18973.0	250	61.0	0.0	0.861	
Esophagus 20-29 vs 50-59	Down	Success	18973.0	250	0.0	73.0	0.829	
Liver 20-29 vs 40-49	Up	Success	13096.0	250	61.0	0.0	0.861	
Liver 20-29 vs 40-49	Down	Success	13096.0	250	0.0	12.0	0.9754	
Liver 20-29 vs 50-59	Up	Success	15661.0	250	35.0	11.0	0.9247	
Liver 20-29 vs 50-59	Down	Success	15661.0	250	0.0	30.0	0.9362	
Esophagus 20-29 vs 40-49	Up	Success	18061.0	250	28.0	0.0	0.9407	
Esophagus 20-29 vs 40-49	Down	Success	18061.0	250	3.0	56.0	0.8739	
Bladder 20-29 vs 40-49	Up	File not found		250				File not found: /chembio/datasets/csdev/VD/data/explore/CFKC/GTEx/Bladder_20-29_vs_40-49/de_genes_with_gmt.tsv
Bladder 20-29 vs 40-49	Down	File not found		250				File not found: /chembio/datasets/csdev/VD/data/explore/CFKC/GTEx/Bladder_20-29_vs_40-49/de_genes_with_gmt.tsv
Testis 20-29 vs 50-59	Up	Success	22932.0	250	11.0	2.0	0.9775	
Testis 20-29 vs 50-59	Down	Success	22932.0	250	2.0	14.0	0.9712	
Lung 20-29 vs 50-59	Up	Success	18606.0	250	66.0	0.0	0.8479	
Lung 20-29 vs 50-59	Down	Success	18606.0	250	0.0	97.0	0.7593	
Bladder 20-29 vs 50-59	Up	File not found		250				File not found: /chembio/datasets/csdev/VD/data/explore/CFKC/GTEx/Bladder_20-29_vs_50-59/de_genes_with_gmt.tsv
Bladder 20-29 vs 50-59	Down	File not found		250				File not found: /chembio/datasets/csdev/VD/data/explore/CFKC/GTEx/Bladder_20-29_vs_50-59/de_genes_with_gmt.tsv
Lung 20-29 vs 40-49	Up	Success	17524.0	250	20.0	45.0	0.9583	
Lung 20-29 vs 40-49	Down	Success	17524.0	250	0.0	42.0	0.9083	
Testis 20-29 vs 40-49	Up	Success	22019.0	250	18.0	1.0	0.9627	
Testis 20-29 vs 40-49	Down	Success	22019.0	250	1.0	5.0	0.9899	
Pancreas 20-29 vs 60-69	Up	Success	15579.0	250	19.0	2.0	0.9605	
Pancreas 20-29 vs 60-69	Down	Success	15579.0	250	1.0	33.0	0.9293	
Prostate 20-29 vs 30-39	Up	File not found		250				File not found: /chembio/datasets/csdev/VD/data/explore/CFKC/GTEx/Prostate_20-29_vs_30-39/de_genes_with_gmt.tsv
Prostate 20-29 vs 30-39	Down	File not found		250				File not found: /chembio/datasets/csdev/VD/data/explore/CFKC/GTEx/Prostate_20-29_vs_30-39/de_genes_with_gmt.tsv
BloodVessel 20-29 vs 70-79	Up	File not found		250				File not found: /chembio/datasets/csdev/VD/data/explore/CFKC/GTEx/BloodVessel_20-29_vs_70-79/de_genes_with_gmt.tsv
BloodVessel 20-29 vs 70-79	Down	File not found		250				File not found: /chembio/datasets/csdev/VD/data/explore/CFKC/GTEx/BloodVessel_20-29_vs_70-79/de_genes_with_gmt.tsv
Ovary 20-29 vs 70-79	Up	File not found		250				File not found: /chembio/datasets/csdev/VD/data/explore/CFKC/GTEx/Ovary_20-29_vs_70-79/de_genes_with_gmt.tsv
Ovary 20-29 vs 70-79	Down	File not found		250				File not found: /chembio/datasets/csdev/VD/data/explore/CFKC/GTEx/Ovary_20-29_vs_70-79/de_genes_with_gmt.tsv
Breast 20-29 vs 30-39	Up	Success	16706.0	250	6.0	2.0	0.9879	
Breast 20-29 vs 30-39	Down	Success	16706.0	250	27.0	23.0	0.9518	
Brain 20-29 vs 70-79	Up	File not found		250				File not found: /chembio/datasets/csdev/VD/data/explore/CFKC/GTEx/Brain_20-29_vs_70-79/de_genes_with_gmt.tsv
Brain 20-29 vs 70-79	Down	File not found		250				File not found: /chembio/datasets/csdev/VD/data/explore/CFKC/GTEx/Brain_20-29_vs_70-79/de_genes_with_gmt.tsv
AdrenalGland 20-29 vs 30-39	Up	File not found		250				File not found: /chembio/datasets/csdev/VD/data/explore/CFKC/GTEx/AdrenalGland_20-29_vs_30-39/de_genes_with_gmt.tsv
AdrenalGland 20-29 vs 30-39	Down	File not found		250				File not found: /chembio/datasets/csdev/VD/data/explore/CFKC/GTEx/AdrenalGland_20-29_vs_30-39/de_genes_with_gmt.tsv
Ovary 20-29 vs 60-69	Up	Success	15833.0	250	31.0	1.0	0.9339	
Ovary 20-29 vs 60-69	Down	Success	15833.0	250	0.0	34.0	0.927	
Brain 20-29 vs 60-69	Up	File not found		250				File not found: /chembio/datasets/csdev/VD/data/explore/CFKC/GTEx/Brain_20-29_vs_60-69/de_genes_with_gmt.tsv
Brain 20-29 vs 60-69	Down	File not found		250				File not found: /chembio/datasets/csdev/VD/data/explore/CFKC/GTEx/Brain_20-29_vs_60-69/de_genes_with_gmt.tsv
Pancreas 20-29 vs 70-79	Up	File not found		250				File not found: /chembio/datasets/csdev/VD/data/explore/CFKC/GTEx/Pancreas_20-29_vs_70-79/de_genes_with_gmt.tsv
Pancreas 20-29 vs 70-79	Down	File not found		250				File not found: /chembio/datasets/csdev/VD/data/explore/CFKC/GTEx/Pancreas_20-29_vs_70-79/de_genes_with_gmt.tsv
BloodVessel 20-29 vs 60-69	Up	File not found		250				File not found: /chembio/datasets/csdev/VD/data/explore/CFKC/GTEx/BloodVessel_20-29_vs_60-69/de_genes_with_gmt.tsv
BloodVessel 20-29 vs 60-69	Down	File not found		250				File not found: /chembio/datasets/csdev/VD/data/explore/CFKC/GTEx/BloodVessel_20-29_vs_60-69/de_genes_with_gmt.tsv
Vagina 20-29 vs 30-39	Up	File not found		250				File not found: /chembio/datasets/csdev/VD/data/explore/CFKC/GTEx/Vagina_20-29_vs_30-39/de_genes_with_gmt.tsv
Vagina 20-29 vs 30-39	Down	File not found		250				File not found: /chembio/datasets/csdev/VD/data/explore/CFKC/GTEx/Vagina_20-29_vs_30-39/de_genes_with_gmt.tsv
Skin 20-29 vs 70-79	Up	Success	17817.0	250	130.0	0.0	0.6486	
Skin 20-29 vs 70-79	Down	Success	17817.0	250	0.0	87.0	0.7893	
Colon 20-29 vs 50-59	Up	Success	18593.0	250	34.0	1.0	0.927	
Colon 20-29 vs 50-59	Down	Success	18593.0	250	0.0	72.0	0.8318	
Blood 20-29 vs 60-69	Up	Success	16211.0	250	97.0	0.0	0.7593	
Blood 20-29 vs 60-69	Down	Success	16211.0	250	0.0	56.0	0.8739	
Muscle 20-29 vs 60-69	Up	Success	15960.0	250	77.0	0.0	0.818	
Muscle 20-29 vs 60-69	Down	Success	15960.0	250	0.0	75.0	0.8235	
Muscle 20-29 vs 70-79	Up	Success	14042.0	250	73.0	1.0	0.829	
Muscle 20-29 vs 70-79	Down	Success	14042.0	250	0.0	49.0	0.8914	
Blood 20-29 vs 70-79	Up	Success	13687.0	250	36.0	0.0	0.9224	
Blood 20-29 vs 70-79	Down	Success	13687.0	250	0.0	48.0	0.8938	
Colon 20-29 vs 40-49	Up	Success	17868.0	250	13.0	1.0	0.9733	
Colon 20-29 vs 40-49	Down	Success	17868.0	250	2.0	98.0	0.7562	
SmallIntestine 20-29 vs 30-39	Up	File not found		250				File not found: /chembio/datasets/csdev/VD/data/explore/CFKC/GTEx/SmallIntestine_20-29_vs_30-39/de_genes_with_gmt.tsv
SmallIntestine 20-29 vs 30-39	Down	File not found		250				File not found: /chembio/datasets/csdev/VD/data/explore/CFKC/GTEx/SmallIntestine_20-29_vs_30-39/de_genes_with_gmt.tsv
Skin 20-29 vs 60-69	Up	Success	19270.0	250	39.0	1.0	0.9154	
Skin 20-29 vs 60-69	Down	Success	19270.0	250	3.0	43.0	0.9059	
Nerve 20-29 vs 50-59	Up	Success	18174.0	250	82.0	0.0	0.8038	
Nerve 20-29 vs 50-59	Down	Success	18174.0	250	0.0	63.0	0.8558	
AdiposeTissue 20-29 vs 50-59	Up	File not found		250				File not found: /chembio/datasets/csdev/VD/data/explore/CFKC/GTEx/AdiposeTissue_20-29_vs_50-59/de_genes_with_gmt.tsv
AdiposeTissue 20-29 vs 50-59	Down	File not found		250				File not found: /chembio/datasets/csdev/VD/data/explore/CFKC/GTEx/AdiposeTissue_20-29_vs_50-59/de_genes_with_gmt.tsv
AdiposeTissue 20-29 vs 40-49	Up	File not found		250				File not found: /chembio/datasets/csdev/VD/data/explore/CFKC/GTEx/AdiposeTissue_20-29_vs_40-49/de_genes_with_gmt.tsv
AdiposeTissue 20-29 vs 40-49	Down	File not found		250				File not found: /chembio/datasets/csdev/VD/data/explore/CFKC/GTEx/AdiposeTissue_20-29_vs_40-49/de_genes_with_gmt.tsv
Nerve 20-29 vs 40-49	Up	Success	17122.0	250	36.0	2.0	0.9224	
Nerve 20-29 vs 40-49	Down	Success	17122.0	250	1.0	27.0	0.9429	
Pituitary 20-29 vs 50-59	Up	File not found		250				File not found: /chembio/datasets/csdev/VD/data/explore/CFKC/GTEx/Pituitary_20-29_vs_50-59/de_genes_with_gmt.tsv
Pituitary 20-29 vs 50-59	Down	File not found		250				File not found: /chembio/datasets/csdev/VD/data/explore/CFKC/GTEx/Pituitary_20-29_vs_50-59/de_genes_with_gmt.tsv
Heart 20-29 vs 70-79	Up	Success	14416.0	250	58.0	0.0	0.8688	
Heart 20-29 vs 70-79	Down	Success	14416.0	250	0.0	30.0	0.9362	
Heart 20-29 vs 60-69	Up	Success	16984.0	250	75.0	1.0	0.8235	
Heart 20-29 vs 60-69	Down	Success	16984.0	250	0.0	55.0	0.8764	
Pituitary 20-29 vs 40-49	Up	File not found		250				File not found: /chembio/datasets/csdev/VD/data/explore/CFKC/GTEx/Pituitary_20-29_vs_40-49/de_genes_with_gmt.tsv
Pituitary 20-29 vs 40-49	Down	File not found		250				File not found: /chembio/datasets/csdev/VD/data/explore/CFKC/GTEx/Pituitary_20-29_vs_40-49/de_genes_with_gmt.tsv
Liver 20-29 vs 70-79	Up	File not found		250				File not found: /chembio/datasets/csdev/VD/data/explore/CFKC/GTEx/Liver_20-29_vs_70-79/de_genes_with_gmt.tsv
Liver 20-29 vs 70-79	Down	File not found		250				File not found: /chembio/datasets/csdev/VD/data/explore/CFKC/GTEx/Liver_20-29_vs_70-79/de_genes_with_gmt.tsv
Esophagus 20-29 vs 60-69	Up	Success	19073.0	250	59.0	0.0	0.8662	
Esophagus 20-29 vs 60-69	Down	Success	19073.0	250	0.0	77.0	0.818	
Pituitary 20-29 vs 30-39	Up	File not found		250				File not found: /chembio/datasets/csdev/VD/data/explore/CFKC/GTEx/Pituitary_20-29_vs_30-39/de_genes_with_gmt.tsv
Pituitary 20-29 vs 30-39	Down	File not found		250				File not found: /chembio/datasets/csdev/VD/data/explore/CFKC/GTEx/Pituitary_20-29_vs_30-39/de_genes_with_gmt.tsv
Esophagus 20-29 vs 70-79	Up	File not found		250				File not found: /chembio/datasets/csdev/VD/data/explore/CFKC/GTEx/Esophagus_20-29_vs_70-79/de_genes_with_gmt.tsv
Esophagus 20-29 vs 70-79	Down	File not found		250				File not found: /chembio/datasets/csdev/VD/data/explore/CFKC/GTEx/Esophagus_20-29_vs_70-79/de_genes_with_gmt.tsv
Liver 20-29 vs 60-69	Up	Success	15330.0	250	70.0	1.0	0.8372	
Liver 20-29 vs 60-69	Down	Success	15330.0	250	0.0	84.0	0.7981	
Lung 20-29 vs 60-69	Up	Success	18708.0	250	47.0	1.0	0.8962	
Lung 20-29 vs 60-69	Down	Success	18708.0	250	0.0	99.0	0.7531	
Testis 20-29 vs 60-69	Up	Success	23355.0	250	34.0	2.0	0.927	
Testis 20-29 vs 60-69	Down	Success	23355.0	250	1.0	25.0	0.9474	
Testis 20-29 vs 70-79	Up	Success	21689.0	250	24.0	2.0	0.9496	
Testis 20-29 vs 70-79	Down	Success	21689.0	250	0.0	11.0	0.9775	
AdiposeTissue 20-29 vs 30-39	Up	File not found		250				File not found: /chembio/datasets/csdev/VD/data/explore/CFKC/GTEx/AdiposeTissue_20-29_vs_30-39/de_genes_with_gmt.tsv
AdiposeTissue 20-29 vs 30-39	Down	File not found		250				File not found: /chembio/datasets/csdev/VD/data/explore/CFKC/GTEx/AdiposeTissue_20-29_vs_30-39/de_genes_with_gmt.tsv
Nerve 20-29 vs 30-39	Up	Success	16528.0	250	16.0	3.0	0.9669	
Nerve 20-29 vs 30-39	Down	Success	16528.0	250	0.0	44.0	0.9035	
Lung 20-29 vs 70-79	Up	Success	16750.0	250	50.0	0.0	0.8889	
Lung 20-29 vs 70-79	Down	Success	16750.0	250	0.0	53.0	0.8814	
SmallIntestine 20-29 vs 50-59	Up	File not found		250				File not found: /chembio/datasets/csdev/VD/data/explore/CFKC/GTEx/SmallIntestine_20-29_vs_50-59/de_genes_with_gmt.tsv
SmallIntestine 20-29 vs 50-59	Down	File not found		250				File not found: /chembio/datasets/csdev/VD/data/explore/CFKC/GTEx/SmallIntestine_20-29_vs_50-59/de_genes_with_gmt.tsv
Spleen 20-29 vs 60-69	Up	File not found		250				File not found: /chembio/datasets/csdev/VD/data/explore/CFKC/GTEx/Spleen_20-29_vs_60-69/de_genes_with_gmt.tsv
Spleen 20-29 vs 60-69	Down	File not found		250				File not found: /chembio/datasets/csdev/VD/data/explore/CFKC/GTEx/Spleen_20-29_vs_60-69/de_genes_with_gmt.tsv
Vagina 20-29 vs 40-49	Up	File not found		250				File not found: /chembio/datasets/csdev/VD/data/explore/CFKC/GTEx/Vagina_20-29_vs_40-49/de_genes_with_gmt.tsv
Vagina 20-29 vs 40-49	Down	File not found		250				File not found: /chembio/datasets/csdev/VD/data/explore/CFKC/GTEx/Vagina_20-29_vs_40-49/de_genes_with_gmt.tsv
Kidney 20-29 vs 60-69	Up	File not found		250				File not found: /chembio/datasets/csdev/VD/data/explore/CFKC/GTEx/Kidney_20-29_vs_60-69/de_genes_with_gmt.tsv
Kidney 20-29 vs 60-69	Down	File not found		250				File not found: /chembio/datasets/csdev/VD/data/explore/CFKC/GTEx/Kidney_20-29_vs_60-69/de_genes_with_gmt.tsv
Thyroid 20-29 vs 70-79	Up	Success	16487.0	250	20.0	0.0	0.9583	
Thyroid 20-29 vs 70-79	Down	Success	16487.0	250	2.0	32.0	0.9316	
Colon 20-29 vs 30-39	Up	Success	17301.0	250	3.0	0.0	0.994	
Colon 20-29 vs 30-39	Down	Success	17301.0	250	0.0	133.0	0.6376	
Thyroid 20-29 vs 60-69	Up	Success	18594.0	250	39.0	0.0	0.9154	
Thyroid 20-29 vs 60-69	Down	Success	18594.0	250	2.0	42.0	0.9083	
Uterus 20-29 vs 60-69	Up	Success	16300.0	250	38.0	0.0	0.9177	
Uterus 20-29 vs 60-69	Down	Success	16300.0	250	1.0	65.0	0.8506	
Vagina 20-29 vs 50-59	Up	File not found		250				File not found: /chembio/datasets/csdev/VD/data/explore/CFKC/GTEx/Vagina_20-29_vs_50-59/de_genes_with_gmt.tsv
Vagina 20-29 vs 50-59	Down	File not found		250				File not found: /chembio/datasets/csdev/VD/data/explore/CFKC/GTEx/Vagina_20-29_vs_50-59/de_genes_with_gmt.tsv
Spleen 20-29 vs 70-79	Up	File not found		250				File not found: /chembio/datasets/csdev/VD/data/explore/CFKC/GTEx/Spleen_20-29_vs_70-79/de_genes_with_gmt.tsv
Spleen 20-29 vs 70-79	Down	File not found		250				File not found: /chembio/datasets/csdev/VD/data/explore/CFKC/GTEx/Spleen_20-29_vs_70-79/de_genes_with_gmt.tsv
SmallIntestine 20-29 vs 40-49	Up	File not found		250				File not found: /chembio/datasets/csdev/VD/data/explore/CFKC/GTEx/SmallIntestine_20-29_vs_40-49/de_genes_with_gmt.tsv
SmallIntestine 20-29 vs 40-49	Down	File not found		250				File not found: /chembio/datasets/csdev/VD/data/explore/CFKC/GTEx/SmallIntestine_20-29_vs_40-49/de_genes_with_gmt.tsv
Kidney 20-29 vs 70-79	Up	File not found		250				File not found: /chembio/datasets/csdev/VD/data/explore/CFKC/GTEx/Kidney_20-29_vs_70-79/de_genes_with_gmt.tsv
Kidney 20-29 vs 70-79	Down	File not found		250				File not found: /chembio/datasets/csdev/VD/data/explore/CFKC/GTEx/Kidney_20-29_vs_70-79/de_genes_with_gmt.tsv
SalivaryGland 20-29 vs 60-69	Up	File not found		250				File not found: /chembio/datasets/csdev/VD/data/explore/CFKC/GTEx/SalivaryGland_20-29_vs_60-69/de_genes_with_gmt.tsv
SalivaryGland 20-29 vs 60-69	Down	File not found		250				File not found: /chembio/datasets/csdev/VD/data/explore/CFKC/GTEx/SalivaryGland_20-29_vs_60-69/de_genes_with_gmt.tsv
Stomach 20-29 vs 70-79	Up	File not found		250				File not found: /chembio/datasets/csdev/VD/data/explore/CFKC/GTEx/Stomach_20-29_vs_70-79/de_genes_with_gmt.tsv
Stomach 20-29 vs 70-79	Down	File not found		250				File not found: /chembio/datasets/csdev/VD/data/explore/CFKC/GTEx/Stomach_20-29_vs_70-79/de_genes_with_gmt.tsv
Prostate 20-29 vs 40-49	Up	Success	17332.0	250	44.0	1.0	0.9035	
Prostate 20-29 vs 40-49	Down	Success	17332.0	250	3.0	27.0	0.9429	
Breast 20-29 vs 40-49	Up	Success	16891.0	250	29.0	9.0	0.9384	
Breast 20-29 vs 40-49	Down	Success	16891.0	250	3.0	23.0	0.9518	
AdrenalGland 20-29 vs 50-59	Up	File not found		250				File not found: /chembio/datasets/csdev/VD/data/explore/CFKC/GTEx/AdrenalGland_20-29_vs_50-59/de_genes_with_gmt.tsv
AdrenalGland 20-29 vs 50-59	Down	File not found		250				File not found: /chembio/datasets/csdev/VD/data/explore/CFKC/GTEx/AdrenalGland_20-29_vs_50-59/de_genes_with_gmt.tsv
AdrenalGland 20-29 vs 40-49	Up	File not found		250				File not found: /chembio/datasets/csdev/VD/data/explore/CFKC/GTEx/AdrenalGland_20-29_vs_40-49/de_genes_with_gmt.tsv
AdrenalGland 20-29 vs 40-49	Down	File not found		250				File not found: /chembio/datasets/csdev/VD/data/explore/CFKC/GTEx/AdrenalGland_20-29_vs_40-49/de_genes_with_gmt.tsv
Breast 20-29 vs 50-59	Up	Success	17921.0	250	17.0	2.0	0.9648	
Breast 20-29 vs 50-59	Down	Success	17921.0	250	3.0	45.0	0.9011	
Stomach 20-29 vs 60-69	Up	Success	16894.0	250	33.0	5.0	0.9293	
Stomach 20-29 vs 60-69	Down	Success	16894.0	250	1.0	24.0	0.9496	
Prostate 20-29 vs 50-59	Up	Success	17706.0	250	31.0	0.0	0.9339	
Prostate 20-29 vs 50-59	Down	Success	17706.0	250	0.0	77.0	0.818	
AdiposeTissue 20-29 vs 60-69	Up	File not found		250				File not found: /chembio/datasets/csdev/VD/data/explore/CFKC/GTEx/AdiposeTissue_20-29_vs_60-69/de_genes_with_gmt.tsv
AdiposeTissue 20-29 vs 60-69	Down	File not found		250				File not found: /chembio/datasets/csdev/VD/data/explore/CFKC/GTEx/AdiposeTissue_20-29_vs_60-69/de_genes_with_gmt.tsv
Nerve 20-29 vs 60-69	Up	Success	18147.0	250	82.0	0.0	0.8038	
Nerve 20-29 vs 60-69	Down	Success	18147.0	250	1.0	48.0	0.8938	
